Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2021-03-15,11:19:41,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-15,11:24:43
2021-03-10,13:12:46,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,13:17:51
2021-03-10,12:53:54,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,12:58:58
2021-03-10,12:46:49,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,12:51:55
2021-03-10,12:41:05,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,12:46:10
2021-03-10,12:35:36,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,12:40:44
2021-03-10,12:29:53,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,12:34:58
2021-03-10,12:22:06,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-03-10,12:27:12
2021-02-25,09:56:08,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-25,10:01:10
2021-02-25,09:48:50,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-25,09:53:58
2021-02-25,09:42:52,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-25,09:47:55
2021-02-25,09:33:39,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-25,09:38:45
2021-02-24,15:46:17,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-24,16:00:13
2021-02-24,15:38:41,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-24,15:43:44
2021-02-05,10:07:06,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-05,10:12:09
2021-02-05,10:00:06,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-05,10:05:07
2021-02-05,09:53:45,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-05,09:58:50
2021-02-02,11:56:45,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-02,12:01:52
2021-02-02,11:35:08,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-02,11:42:56
2021-02-02,11:27:39,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-02,11:32:42
2021-02-02,11:18:24,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-02,11:23:33
2021-02-02,09:35:11,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-02,09:40:13
2021-02-01,10:27:19,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-02-01,10:32:22
2021-01-29,09:32:41,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-29,09:37:47
2021-01-28,15:59:41,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,16:00:02
2021-01-28,12:38:48,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,12:43:51
2021-01-28,12:11:25,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,12:16:33
2021-01-28,12:01:46,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,12:06:49
2021-01-28,11:46:19,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:51:33
2021-01-28,11:36:57,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:41:59
2021-01-28,11:30:45,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:35:49
2021-01-28,11:24:58,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:30:03
2021-01-28,11:19:34,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:24:36
2021-01-28,11:13:59,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:19:09
2021-01-28,11:08:22,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:13:31
2021-01-28,11:02:19,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:07:19
2021-01-28,10:54:39,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,11:00:04
2021-01-28,10:45:44,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,10:51:19
2021-01-28,10:40:01,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,10:45:03
2021-01-28,10:17:07,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,10:22:10
2021-01-28,10:03:22,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,10:08:26
2021-01-28,09:39:34,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,09:44:36
2021-01-28,09:31:29,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-28,09:36:35
2021-01-27,12:00:02,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-27,12:05:09
2021-01-27,10:13:47,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-27,10:18:50
2021-01-27,09:51:39,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-27,09:56:43
2021-01-26,15:39:21,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-26,15:44:34
2021-01-26,14:52:01,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-26,14:57:04
2021-01-26,12:50:45,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-26,12:56:07
2021-01-26,10:34:02,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-26,10:39:39
2021-01-26,09:40:11,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-26,09:45:21
2021-01-25,12:25:58,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,12:31:11
2021-01-25,12:19:00,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,12:24:07
2021-01-25,12:12:37,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,12:17:45
2021-01-25,11:27:10,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,11:32:23
2021-01-25,11:11:44,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,11:17:30
2021-01-25,11:04:33,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,11:09:38
2021-01-25,10:58:15,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,11:03:20
2021-01-25,10:47:48,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,10:53:34
2021-01-25,09:34:20,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-25,09:42:00
2021-01-22,13:01:37,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-22,13:06:37
2021-01-22,12:50:01,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-22,12:55:01
2021-01-22,12:41:02,GME,GameStop Corp. Class A,NYSE,LULD pause,2021-01-22,12:46:03
2020-10-08,14:22:05,GME,GameStop Corp. Class A,NYSE,LULD pause,2020-10-08,14:27:10
2020-10-08,13:59:59,GME,GameStop Corp. Class A,NYSE,News pending,2020-10-08,14:21:38
